sample,time,code,chan
352796,172.263671875,192.0,-1.0
356920,174.27734375,34.0,-1.0
357977,174.79345703125,35.0,-1.0
358341,174.97119140625,131.0,0.0
358483,175.04052734375,132.0,0.0
358603,175.09912109375,131.0,1.0
358660,175.126953125,131.0,3.0
358685,175.13916015625,162.0,-1.0
358805,175.19775390625,132.0,1.0
358853,175.22119140625,133.0,3.0
359417,175.49658203125,132.0,3.0
359509,175.54150390625,192.0,-1.0
363644,177.560546875,34.0,-1.0
364701,178.07666015625,50.0,-1.0
364959,178.20263671875,131.0,0.0
365009,178.22705078125,132.0,0.0
365314,178.3759765625,131.0,0.0
365459,178.44677734375,131.0,3.0
365459,178.44677734375,133.0,3.0
365462,178.4482421875,131.0,2.0
365558,178.4951171875,98.0,-1.0
365619,178.52490234375,132.0,0.0
365687,178.55810546875,132.0,3.0
365700,178.564453125,133.0,2.0
366192,178.8046875,132.0,2.0
370505,180.91064453125,34.0,-1.0
371562,181.4267578125,42.0,-1.0
371867,181.57568359375,131.0,0.0
372022,181.6513671875,132.0,0.0
372172,181.724609375,131.0,0.0
372228,181.751953125,131.0,2.0
372311,181.79248046875,131.0,3.0
372359,181.81591796875,98.0,-1.0
372463,181.86669921875,132.0,0.0
372518,181.8935546875,133.0,2.0
372596,181.931640625,133.0,3.0
372597,181.93212890625,132.0,3.0
372952,182.10546875,132.0,2.0
377297,184.22705078125,34.0,-1.0
378355,184.74365234375,35.0,-1.0
379263,185.18701171875,131.0,1.0
379338,185.2236328125,131.0,3.0
379388,185.248046875,162.0,-1.0
379482,185.2939453125,132.0,1.0
379568,185.3359375,133.0,3.0
379967,185.53076171875,132.0,3.0
384329,187.66064453125,34.0,-1.0
385386,188.1767578125,50.0,-1.0
385997,188.47509765625,131.0,0.0
386117,188.53369140625,132.0,0.0
386146,188.5478515625,131.0,0.0
386173,188.56103515625,131.0,2.0
386208,188.578125,131.0,3.0
386302,188.6240234375,98.0,-1.0
386344,188.64453125,133.0,3.0
386379,188.66162109375,132.0,0.0
386393,188.66845703125,132.0,3.0
386452,188.697265625,133.0,2.0
386934,188.9326171875,132.0,2.0
391258,191.0439453125,34.0,-1.0
392315,191.56005859375,38.0,-1.0
392812,191.802734375,131.0,1.0
392878,191.8349609375,131.0,3.0
